Panelist,Session,Rank,Product,Spicy,Heady,Fruity,Green,Vanilla,Floral,Woody,Citrus,Marine,Greedy,Oriental,Wrapping
SO,1,1,Coco Mademoiselle,0.6,0.7,7.1,0.8,2,8.6,0.7,0.3,3.4,0.8,0.9,3.8
SO,1,2,Lolita Lempicka,1.4,1.5,3.2,1.3,5.3,4.4,1.1,1.8,1,9.5,1,7.9
SO,1,3,Angel,3.8,9.7,1,0.6,1.9,3.6,0.6,0.7,0.5,9.8,0.7,7.3
SO,1,4,Pure Poison,1.1,1.2,7.4,0.2,2.5,9.5,0.8,1,0.8,3.8,7,8.9
SO,1,5,Chanel N5,4.9,8.4,3,0.3,0.1,4.9,3.3,0,0,1.9,9,9.5
SO,1,6,Aromatics Elixir,8.6,10,0,0,3.1,5,1.2,0,0,0,6,8.5
SO,1,7,J'adore ET,1.5,0,9.4,0.3,0.3,8.1,0.5,0.5,0.5,1,0.3,8.1
SO,1,8,Pleasures,0.2,0.2,5.3,2.8,0.5,9.3,0.5,4.2,6.3,0.7,0.3,5.8
SO,1,9,J'adore EP,0.5,0.4,9.6,0.3,0.5,7.5,0.5,7.3,0.3,0.4,0.4,4.6
SO,1,10,L'instant,2,8,0.5,0.5,4,7,4,1.8,0.2,5.1,6.5,9.1
SO,1,11,Cinéma,0.3,0.8,5,1.2,0.2,7.3,0.6,5.5,1.5,2.3,0.2,3.9
SO,1,12,Shalimar,8.5,9.8,0.3,0.5,1.2,4.8,6.8,0.6,0.7,2.5,9.6,9.5
SO,2,1,Shalimar,9.6,9.3,1.4,1,1.6,3.7,1.6,0.1,0.1,0.1,8.6,9.4
SO,2,2,Cinéma,0.3,0.5,8.4,0.3,2.3,8.8,0.3,3.8,0.3,2.4,0.3,4
SO,2,3,L'instant,1.2,1.1,5,0.1,4.4,7.8,2.7,0.1,0.1,3.3,2.3,8.9
SO,2,4,J'adore EP,0.2,0.5,8.8,0.5,0.7,7.7,0.4,0.3,0.5,0.5,0.4,0.5
SO,2,5,Pleasures,0.5,0.6,7.6,0.3,0.5,9.8,0.6,2.4,0.2,0.2,0.3,6.7
SO,2,6,J'adore ET,0.5,0.7,8.6,0.5,1,8.6,0.3,0.5,0.3,3,0.3,7.7
SO,2,7,Aromatics Elixir,6.5,9.9,1.1,2.6,0.1,4.3,2,0.2,0.3,0.2,5.5,9.9
SO,2,8,Chanel N5,2.4,9.6,1.1,0,0.1,8,1.9,0.2,0.2,0,7.8,9.8
SO,2,9,Pure Poison,0.5,0.6,2.6,0,0.4,9,1.3,1.6,0,0.4,0.5,0.3
SO,2,10,Angel,7.2,9.8,5.1,0.2,4.1,3.1,0.3,0.2,0.1,9.9,1.6,9.8
SO,2,11,Lolita Lempicka,2,0.9,6.9,0.4,7.3,4,1.6,6.8,0.3,9.9,8.6,7.4
SO,2,12,Coco Mademoiselle,1.2,3.6,8.6,0.3,2.1,9.4,0.3,2.6,0,0.2,1,8.5
ST,1,1,Lolita Lempicka,0,0,0,0,10,0,0,0,0,10,0,1.5
ST,1,2,Pure Poison,0,0,9,0.3,0.4,5,0,0,0,0,0,0
ST,1,3,Coco Mademoiselle,0.7,0,9.2,0,1.5,2.8,0,0,0,1.5,2.3,0.5
ST,1,4,Aromatics Elixir,8.6,10,0,2.3,1,5,8,0,0,0,10,10
ST,1,5,Angel,6.8,10,0,0,10,0,0,0,0,10,0,10
ST,1,6,Pleasures,0,0,8.8,2.7,0,9,0,1.2,0,0.5,0,0
ST,1,7,Chanel N5,8.2,10,3.7,1.1,8.6,0,0,0,0,0,9.7,9.7
