"Date","Price","Earnings","Earnings_10MA_back","Return_cumul","Return_10_fwd"
1871,85.22,7.68,NA,1,0.13051268020414
1871.08,83.81,7.45,NA,0.99,0.130649904966584
1871.17,84.61,7.34,NA,1,0.131173993962994
1871.25,90.29,7.62,NA,1.07,0.122559873143159
1871.33,94.73,7.8,NA,1.13,0.122851712607348
1871.42,95.43,7.92,NA,1.15,0.122737748077798
1871.5,93.64,7.92,NA,1.13,0.120012493858237
1871.58,96.35,8.05,NA,1.17,0.111589418362302
1871.67,95.07,7.86,NA,1.16,0.109874289231335
1871.75,88.78,7.74,NA,1.09,0.114404705951823
1871.83,89.74,7.74,NA,1.1,0.115444883802484
1871.92,89.61,7.56,NA,1.11,0.111687442519738
1872,91.88,7.61,NA,1.14,0.107682873991032
1872.08,92.26,7.66,NA,1.15,0.103532905477226
1872.17,93.87,7.59,NA,1.17,0.101989005929004
1872.25,94.38,7.47,NA,1.19,0.0997662189461248
1872.33,94.38,7.52,NA,1.19,0.0979677062662963
1872.42,94.15,7.62,NA,1.19,0.0968757354356
1872.5,94.99,7.78,NA,1.21,0.102483164307992
1872.58,93.18,7.76,NA,1.19,0.107044028522591
1872.67,90.85,7.75,NA,1.17,0.113552829614429
1872.75,93.26,7.97,NA,1.21,0.108187208716896
1872.83,90.19,7.79,NA,1.17,0.108584490079529
1872.92,93.73,7.95,NA,1.22,0.106288754130955
1873,94.47,8,NA,1.24,0.104161190116198
1873.08,93.16,7.87,NA,1.23,0.102041184675012
1873.17,92.43,7.91,NA,1.22,0.105958074241638
1873.25,91.17,7.96,NA,1.21,0.110782612223393
1873.33,93.36,8.18,NA,1.25,0.106855451008996
1873.42,94.86,8.48,NA,1.28,0.108943074699816
1873.5,94.67,8.52,NA,1.28,0.109863746661696
1873.58,94.67,8.57,NA,1.29,0.104647137931972
1873.67,87.43,8.62,NA,1.2,0.11550154995644
1873.75,81.67,8.87,NA,1.12,0.120688723845649
1873.83,81.26,9.2,NA,1.13,0.123163226666303
1873.92,86.82,9.04,NA,1.21,0.11237744566149
1874,90.13,8.9,NA,1.26,0.105008340617221
1874.08,92.84,8.9,NA,1.31,0.104206605902231
1874.17,91.48,8.9,NA,1.3,0.105365717491092
1874.25,90.36,9.04,NA,1.29,0.104012463903148
1874.33,88.7,9.11,NA,1.27,0.099194136836581
1874.42,90.44,9.33,NA,1.31,0.0920476250322193
1874.5,89.71,9.25,NA,1.3,0.0946018252905461
1874.58,90.64,9.33,NA,1.33,0.0993709272461349
1874.67,92.06,9.33,NA,1.35,0.0961204824255684
1874.75,93.36,9.48,NA,1.38,0.0917567852390324
1874.83,94.96,9.56,NA,1.41,0.0903917814075801
1874.92,94.34,9.56,NA,1.41,0.0920084034096695
1875,94.34,9.39,NA,1.42,0.0892957576545557
1875.08,94.13,9.21,NA,1.43,0.0914298020886373
1875.17,95.38,9.04,NA,1.46,0.0923006320651876
1875.25,95.83,8.79,NA,1.47,0.0906240515512695
1875.33,94.45,8.84,NA,1.46,0.0932254017182372
1875.42,94.13,8.81,NA,1.46,0.0959582263852172
